year,month,day,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,rolling_mean_7,rolling_mean_3,sin_week,cos_week
2019,1,1,6.0,6.0,17.0,6.0,13.0,13.0,18.0,10.714285714285714,8.666666666666666,0.7818314824680298,0.6234898018587336
2019,1,2,14.0,6.0,6.0,17.0,6.0,13.0,13.0,10.0,9.333333333333334,0.9749279121818236,-0.22252093395631434
2019,1,3,8.0,14.0,6.0,6.0,17.0,6.0,13.0,8.857142857142858,9.0,0.43388373911755823,-0.900968867902419
2019,1,4,5.0,8.0,14.0,6.0,6.0,17.0,6.0,8.714285714285714,6.0,-0.433883739117558,-0.9009688679024191
2019,1,5,5.0,5.0,8.0,14.0,6.0,6.0,17.0,7.285714285714286,5.666666666666667,-0.9749279121818236,-0.2225209339563146
2019,1,6,7.0,5.0,5.0,8.0,14.0,6.0,6.0,7.0,5.333333333333333,-0.7818314824680299,0.6234898018587334
2019,1,7,4.0,7.0,5.0,5.0,8.0,14.0,6.0,6.571428571428571,4.666666666666667,0.0,1.0
2019,1,8,3.0,4.0,7.0,5.0,5.0,8.0,14.0,6.285714285714286,6.333333333333333,0.7818314824680298,0.6234898018587336
2019,1,9,12.0,3.0,4.0,7.0,5.0,5.0,8.0,6.142857142857143,7.333333333333333,0.9749279121818236,-0.22252093395631434
2019,1,10,7.0,12.0,3.0,4.0,7.0,5.0,5.0,6.714285714285714,9.333333333333334,0.43388373911755823,-0.900968867902419
2019,1,11,9.0,7.0,12.0,3.0,4.0,7.0,5.0,7.857142857142857,9.666666666666666,-0.433883739117558,-0.9009688679024191
2019,1,12,13.0,9.0,7.0,12.0,3.0,4.0,7.0,8.142857142857142,10.333333333333334,-0.9749279121818236,-0.2225209339563146
2019,1,13,9.0,13.0,9.0,7.0,12.0,3.0,4.0,8.714285714285714,10.0,-0.7818314824680299,0.6234898018587334
2019,1,14,8.0,9.0,13.0,9.0,7.0,12.0,3.0,9.571428571428571,8.666666666666666,0.0,1.0
2019,1,15,9.0,8.0,9.0,13.0,9.0,7.0,12.0,8.857142857142858,8.0,0.7818314824680298,0.6234898018587336
2019,1,16,7.0,9.0,8.0,9.0,13.0,9.0,7.0,8.857142857142858,7.666666666666667,0.9749279121818236,-0.22252093395631434
2019,1,17,7.0,7.0,9.0,8.0,9.0,13.0,9.0,8.857142857142858,7.666666666666667,0.43388373911755823,-0.900968867902419
2019,1,18,9.0,7.0,7.0,9.0,8.0,9.0,13.0,8.714285714285714,9.333333333333334,-0.433883739117558,-0.9009688679024191
2019,1,19,12.0,9.0,7.0,7.0,9.0,8.0,9.0,8.142857142857142,8.666666666666666,-0.9749279121818236,-0.2225209339563146
2019,1,20,5.0,12.0,9.0,7.0,7.0,9.0,8.0,8.285714285714286,8.666666666666666,-0.7818314824680299,0.6234898018587334
2019,1,21,9.0,5.0,12.0,9.0,7.0,7.0,9.0,8.571428571428571,8.333333333333334,0.0,1.0
2019,1,22,11.0,9.0,5.0,12.0,9.0,7.0,7.0,8.428571428571429,8.666666666666666,0.7818314824680298,0.6234898018587336
2019,1,23,6.0,11.0,9.0,5.0,12.0,9.0,7.0,8.714285714285714,8.666666666666666,0.9749279121818236,-0.22252093395631434
2019,1,24,9.0,6.0,11.0,9.0,5.0,12.0,9.0,9.428571428571429,9.666666666666666,0.43388373911755823,-0.900968867902419
2019,1,25,14.0,9.0,6.0,11.0,9.0,5.0,12.0,10.0,13.0,-0.433883739117558,-0.9009688679024191
2019,1,26,16.0,14.0,9.0,6.0,11.0,9.0,5.0,11.428571428571429,15.0,-0.9749279121818236,-0.2225209339563146
2019,1,27,15.0,16.0,14.0,9.0,6.0,11.0,9.0,11.142857142857142,12.666666666666666,-0.7818314824680299,0.6234898018587334
2019,1,28,7.0,15.0,16.0,14.0,9.0,6.0,11.0,11.142857142857142,11.0,0.0,1.0
2019,1,29,11.0,7.0,15.0,16.0,14.0,9.0,6.0,12.142857142857142,10.333333333333334,0.7818314824680298,0.6234898018587336
2019,1,30,13.0,11.0,7.0,15.0,16.0,14.0,9.0,13.142857142857142,13.333333333333334,0.9749279121818236,-0.22252093395631434
2019,1,31,16.0,13.0,11.0,7.0,15.0,16.0,14.0,12.142857142857142,12.0,0.43388373911755823,-0.900968867902419
2019,2,1,7.0,16.0,13.0,11.0,7.0,15.0,16.0,10.857142857142858,10.0,-0.433883739117558,-0.9009688679024191
2019,2,2,7.0,7.0,16.0,13.0,11.0,7.0,15.0,10.428571428571429,8.666666666666666,-0.9749279121818236,-0.2225209339563146
2019,2,3,12.0,7.0,7.0,16.0,13.0,11.0,7.0,11.285714285714286,10.666666666666666,-0.7818314824680299,0.6234898018587334
2019,2,4,13.0,12.0,7.0,7.0,16.0,13.0,11.0,11.142857142857142,11.666666666666666,0.0,1.0
2019,2,5,10.0,13.0,12.0,7.0,7.0,16.0,13.0,10.571428571428571,10.666666666666666,0.7818314824680298,0.6234898018587336
2019,2,6,9.0,10.0,13.0,12.0,7.0,7.0,16.0,9.714285714285714,9.666666666666666,0.9749279121818236,-0.22252093395631434
2019,2,7,10.0,9.0,10.0,13.0,12.0,7.0,7.0,10.285714285714286,10.0,0.43388373911755823,-0.900968867902419
2019,2,8,11.0,10.0,9.0,10.0,13.0,12.0,7.0,11.714285714285714,12.666666666666666,-0.433883739117558,-0.9009688679024191
