year,weekofyear,lag_1,lag_2,lag_3,lag_52,rolling_mean_3
2019,1,87.0,84.0,76.0,72.0,77.66666666666667
2019,2,62.0,87.0,84.0,46.0,70.0
2019,3,61.0,62.0,87.0,69.0,60.333333333333336
2019,4,58.0,61.0,62.0,65.0,65.66666666666667
2019,5,78.0,58.0,61.0,67.0,71.66666666666667
2019,6,79.0,78.0,58.0,72.0,78.0
2019,7,77.0,79.0,78.0,73.0,77.33333333333333
2019,8,76.0,77.0,79.0,66.0,77.33333333333333
2019,9,79.0,76.0,77.0,74.0,77.66666666666667
2019,10,78.0,79.0,76.0,82.0,79.33333333333333
2019,11,81.0,78.0,79.0,84.0,82.33333333333333
2019,12,88.0,81.0,78.0,59.0,88.66666666666667
2019,13,97.0,88.0,81.0,56.0,81.66666666666667
2019,14,60.0,97.0,88.0,79.0,76.0
2019,15,71.0,60.0,97.0,70.0,75.33333333333333
2019,16,95.0,71.0,60.0,83.0,74.33333333333333
2019,17,57.0,95.0,71.0,70.0,74.0
2019,18,70.0,57.0,95.0,80.0,68.66666666666667
2019,19,79.0,70.0,57.0,69.0,71.66666666666667
2019,20,66.0,79.0,70.0,72.0,73.66666666666667
2019,21,76.0,66.0,79.0,73.0,69.66666666666667
2019,22,67.0,76.0,66.0,69.0,75.0
2019,23,82.0,67.0,76.0,81.0,74.33333333333333
2019,24,74.0,82.0,67.0,80.0,80.66666666666667
2019,25,86.0,74.0,82.0,88.0,75.66666666666667
2019,26,67.0,86.0,74.0,60.0,72.0
2019,27,63.0,67.0,86.0,82.0,67.66666666666667
2019,28,73.0,63.0,67.0,73.0,68.66666666666667
2019,29,70.0,73.0,63.0,69.0,75.33333333333333
2019,30,83.0,70.0,73.0,70.0,81.66666666666667
2019,31,92.0,83.0,70.0,90.0,85.33333333333333
2019,32,81.0,92.0,83.0,76.0,90.0
2019,33,97.0,81.0,92.0,69.0,88.0
2019,34,86.0,97.0,81.0,72.0,91.33333333333333
2019,35,91.0,86.0,97.0,76.0,89.0
2019,36,90.0,91.0,86.0,75.0,93.33333333333333
2019,37,99.0,90.0,91.0,80.0,89.66666666666667
2019,38,80.0,99.0,90.0,88.0,86.33333333333333
2019,39,80.0,80.0,99.0,63.0,85.66666666666667
2019,40,97.0,80.0,80.0,69.0,89.33333333333333
2019,41,91.0,97.0,80.0,70.0,90.66666666666667
2019,42,84.0,91.0,97.0,62.0,86.33333333333333
2019,43,84.0,84.0,91.0,85.0,88.66666666666667
2019,44,98.0,84.0,84.0,73.0,95.33333333333333
2019,45,104.0,98.0,84.0,64.0,103.66666666666667
2019,46,109.0,104.0,98.0,71.0,96.0
2019,47,75.0,109.0,104.0,72.0,89.33333333333333
2019,48,84.0,75.0,109.0,59.0,87.66666666666667
2019,49,104.0,84.0,75.0,72.0,93.66666666666667
2019,50,93.0,104.0,84.0,76.0,92.33333333333333
2019,51,80.0,93.0,104.0,84.0,86.0
2019,52,85.0,80.0,93.0,87.0,83.0
2019,1,39.0,62.0,69.0,67.0,58.0
2019,2,73.0,39.0,62.0,59.0,62.666666666666664
2019,3,76.0,73.0,39.0,74.0,75.33333333333333
2019,4,77.0,76.0,73.0,71.0,71.0
2019,5,60.0,77.0,76.0,75.0,71.0
2019,6,76.0,60.0,77.0,65.0,63.333333333333336
2019,7,54.0,76.0,60.0,82.0,66.33333333333333
2019,8,69.0,54.0,76.0,85.0,68.33333333333333
2019,9,82.0,69.0,54.0,72.0,74.33333333333333
2019,10,72.0,82.0,69.0,109.0,70.0
2019,11,56.0,72.0,82.0,105.0,65.33333333333333
2019,12,68.0,56.0,72.0,92.0,67.66666666666667
2019,13,79.0,68.0,56.0,76.0,71.0
2019,14,66.0,79.0,68.0,76.0,72.33333333333333
2019,15,72.0,66.0,79.0,92.0,68.33333333333333
2019,16,67.0,72.0,66.0,80.0,63.666666666666664
2019,17,52.0,67.0,72.0,81.0,55.666666666666664
2019,18,48.0,52.0,67.0,89.0,51.666666666666664
2019,19,55.0,48.0,52.0,94.0,63.0
2019,20,86.0,55.0,48.0,61.0,70.33333333333333
2019,21,70.0,86.0,55.0,95.0,77.33333333333333
2019,22,76.0,70.0,86.0,75.0,68.33333333333333
2019,23,59.0,76.0,70.0,66.0,64.33333333333333
2019,24,58.0,59.0,76.0,93.0,60.333333333333336
2019,25,64.0,58.0,59.0,70.0,57.333333333333336
2019,26,50.0,64.0,58.0,82.0,62.666666666666664
2019,27,74.0,50.0,64.0,64.0,59.666666666666664
2019,28,55.0,74.0,50.0,58.0,72.0
2019,29,87.0,55.0,74.0,86.0,72.33333333333333
2019,30,75.0,87.0,55.0,109.0,86.0
2019,31,96.0,75.0,87.0,87.0,88.0
2019,32,93.0,96.0,75.0,74.0,92.66666666666667
2019,33,89.0,93.0,96.0,108.0,93.66666666666667
2019,34,99.0,89.0,93.0,82.0,80.0
2019,35,52.0,99.0,89.0,81.0,80.66666666666667
2019,36,91.0,52.0,99.0,89.0,84.0
2019,37,109.0,91.0,52.0,79.0,96.66666666666667
2019,38,90.0,109.0,91.0,74.0,101.66666666666667
2019,39,106.0,90.0,109.0,42.0,89.0
2019,40,71.0,106.0,90.0,82.0,82.0
2019,41,69.0,71.0,106.0,65.0,75.33333333333333
2019,42,86.0,69.0,71.0,86.0,73.0
2019,43,64.0,86.0,69.0,73.0,78.66666666666667
2019,44,86.0,64.0,86.0,76.0,77.66666666666667
2019,45,83.0,86.0,64.0,55.0,86.66666666666667
2019,46,91.0,83.0,86.0,55.0,88.0
2019,47,90.0,91.0,83.0,72.0,88.66666666666667
2019,48,85.0,90.0,91.0,73.0,79.33333333333333
2019,49,63.0,85.0,90.0,63.0,81.33333333333333
2019,50,96.0,63.0,85.0,69.0,84.66666666666667
2019,51,95.0,96.0,63.0,62.0,95.0
2019,52,94.0,95.0,96.0,39.0,86.0
2019,1,497.0,632.0,665.0,431.0,509.6666666666667
2019,2,400.0,497.0,632.0,397.0,440.0
2019,3,423.0,400.0,497.0,561.0,450.6666666666667
2019,4,529.0,423.0,400.0,559.0,513.0
2019,5,587.0,529.0,423.0,573.0,557.6666666666666
2019,6,557.0,587.0,529.0,614.0,582.0
2019,7,602.0,557.0,587.0,651.0,591.3333333333334
2019,8,615.0,602.0,557.0,598.0,606.3333333333334
2019,9,602.0,615.0,602.0,607.0,581.0
2019,10,526.0,602.0,615.0,557.0,562.3333333333334
2019,11,559.0,526.0,602.0,574.0,552.0
2019,12,571.0,559.0,526.0,559.0,562.6666666666666
2019,13,558.0,571.0,559.0,422.0,530.6666666666666
2019,14,463.0,558.0,571.0,631.0,556.3333333333334
2019,15,648.0,463.0,558.0,562.0,571.3333333333334
2019,16,603.0,648.0,463.0,591.0,556.6666666666666
2019,17,419.0,603.0,648.0,599.0,535.0
2019,18,583.0,419.0,603.0,491.0,520.3333333333334
2019,19,559.0,583.0,419.0,617.0,609.3333333333334
2019,20,686.0,559.0,583.0,574.0,601.0
2019,21,558.0,686.0,559.0,634.0,615.6666666666666
2019,22,603.0,558.0,686.0,584.0,557.0
2019,23,510.0,603.0,558.0,545.0,570.0
2019,24,597.0,510.0,603.0,561.0,576.6666666666666
2019,25,623.0,597.0,510.0,602.0,599.6666666666666
2019,26,579.0,623.0,597.0,506.0,581.0
2019,27,541.0,579.0,623.0,464.0,548.3333333333334
2019,28,525.0,541.0,579.0,571.0,551.0
2019,29,587.0,525.0,541.0,583.0,582.6666666666666
2019,30,636.0,587.0,525.0,575.0,615.0
2019,31,622.0,636.0,587.0,605.0,634.0
2019,32,644.0,622.0,636.0,594.0,652.3333333333334
2019,33,691.0,644.0,622.0,655.0,674.3333333333334
2019,34,688.0,691.0,644.0,577.0,645.6666666666666
2019,35,558.0,688.0,691.0,584.0,632.6666666666666
2019,36,652.0,558.0,688.0,626.0,623.3333333333334
2019,37,660.0,652.0,558.0,586.0,642.0
2019,38,614.0,660.0,652.0,613.0,656.3333333333334
